city,country,lat,lon,baseline_temp_c,future_temp_c,delta_temp_c,delta_summer_temp_c,delta_precip_pct,baseline_heat_days,future_heat_days,delta_heat_days,resilience_score,risk_tier
Strasbourg,France,48.5846,7.7507,10.7,12.5,1.7,2.2,-6.8,0.0,2.0,2.0,56.5,Moderate Risk
Marseille,France,43.2962,5.37,15.6,17.2,1.7,2.0,-7.0,0.0,0.0,0.0,60.6,Moderate Risk
Lyon,France,45.7578,4.832,12.3,14.1,1.8,2.4,-8.3,1.0,3.3,2.3,49.2,High Risk
Wiesbaden,Germany,50.082,8.2417,10.9,12.6,1.7,2.1,-5.7,0.0,1.0,1.0,60.5,Moderate Risk
Heidelberg,Germany,49.4094,8.6947,11.0,12.7,1.7,2.2,-6.1,0.0,1.0,1.0,58.4,Moderate Risk
Cambridge,United Kingdom,52.2055,0.1187,10.5,11.9,1.3,1.5,-2.5,0.0,0.0,0.0,82.0,Low Risk
Dusseldorf,Germany,51.2254,6.7763,10.7,12.3,1.6,1.9,-7.0,0.0,0.0,0.0,63.8,Moderate Risk
Brussels,Belgium,50.8467,4.3525,10.9,12.4,1.5,1.8,-5.7,0.0,1.0,1.0,68.3,Moderate Risk
Erfurt,Germany,50.9778,11.0287,9.5,11.2,1.7,1.9,-2.8,0.0,0.0,0.0,69.0,Moderate Risk
Galway,Ireland,53.2744,-9.0491,10.2,11.2,1.0,1.1,1.7,0.0,0.0,0.0,94.2,Low Risk
Edinburgh,United Kingdom,55.9533,-3.1884,8.8,9.9,1.1,1.2,1.4,0.0,0.0,0.0,91.6,Low Risk
Gent,Belgium,51.0538,3.725,10.8,12.3,1.5,1.7,-4.8,0.0,0.0,0.0,72.0,Moderate Risk
Essen,Germany,51.4582,7.0158,10.4,12.0,1.6,1.8,-5.8,0.0,0.0,0.0,67.2,Moderate Risk
Darmstadt,Germany,49.8728,8.6512,10.6,12.4,1.7,2.2,-5.9,0.0,1.0,1.0,58.7,Moderate Risk
Cologne,Germany,50.9384,6.96,10.5,12.1,1.6,1.9,-5.3,0.0,0.0,0.0,66.6,Moderate Risk
Karlsruhe,Germany,49.0069,8.4034,11.2,12.9,1.8,2.2,-6.3,0.0,2.0,2.0,55.6,Moderate Risk
Cork,Ireland,51.8985,-8.4726,10.9,12.0,1.0,1.2,1.7,0.0,0.0,0.0,92.7,Low Risk
Antwerp,Belgium,51.2211,4.3997,10.8,12.3,1.5,1.7,-5.4,0.0,0.0,0.0,71.0,Moderate Risk
Leiden,Netherlands,52.1595,4.4909,10.7,11.9,1.2,1.2,-3.7,0.0,0.0,0.0,86.1,Low Risk
Hamburg,Germany,53.5503,10.0007,9.5,11.1,1.5,1.6,-0.7,0.0,0.0,0.0,80.2,Low Risk
Reading,United Kingdom,51.4515,-0.9836,10.5,11.8,1.3,1.6,-1.5,0.0,0.0,0.0,82.2,Low Risk
